Org|OrgSector|RverMonthYear|RverReviewer|RverPosition|RverLoc|RverRecom|RvReviewAbout|RvScore|RvComment|topic0|topic1|topic2|topic3|topic4|topic5|topic6|topic7|topic8|topic9
adidas ag|Handel|April 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Overall|3.8|Guter Arbeitgeber mit Problemen in der FÃ¼hrungsriege|0.30845565|0.07564338|0.07869022|0.08740715|0.07329652|0.076932505|0.07858731|0.07303912|0.07416859|0.07377956
adidas ag|Handel|April 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|ArbeitsatmosphÃ¤re|3|Je nach Bereich ist es eine gute AtmosphÃ¤re. Innerhalb der Teams gibt es meist eine gute Stimmung und auch privat unternimmt man gerne mal etwas gemeinsam. Leider tragen manche Vorgesetzte und HR zu einer Verschlechterung der ArbeitsatmosphÃ¤re bei. (teilweise) Beispiele dazu: - Starker Unterschied in der FÃ¼hrungsriege. Die meisten Vorgesetzten wissen wie man Mitarbeiter fÃ¼hrt und motiviert. Doch gibt es einige Beispiele, wie Vorgesetzte den Druck von oben 1:1 an die Mitarbeiter weitergeben und diese unter Druck setzen. Da ist dringender Nachschulungsbedarf. HR unterstÃ¼tzt dieses Verhalten gegenÃ¼ber Mitarbeitern und setzt gerne noch einmal einen oben drauf. Trotzdem gibt es sehr viele positive Beispiele und je nach Vorgesetztem und Team ist es einfach schÃ¶n hier zu arbeiten.|0.7659912|0.02133771|0.042938724|0.048969116|0.017457087|0.021558302|0.019602923|0.024942337|0.018279305|0.018923318
adidas ag|Handel|April 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Kollegenzusammenhalt|5|In meinem Team ist der Zusammenhalt sehr gut. Wir unternehmen auch privat etwas gemeinsam. Aber das hÃ¤ngt tatsÃ¤chlich sehr von dem Bereich und dem Team ab, in dem man arbeitet.|0.20910265|0.064318106|0.062259365|0.2952939|0.052048814|0.072299056|0.053892627|0.08346519|0.05451687|0.052803412
adidas ag|Handel|April 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Gleichberechtigung|5|Aus meiner Sicht vorhanden und gut umgesetzt. Es ist egal wer Du bist, Du musst die Leistung bringen und dann gibt es keinen Unterschied.|0.3112907|0.06917151|0.12744842|0.096893996|0.0604251|0.09256813|0.061324053|0.0671689|0.055541504|0.058167677
adidas ag|Handel|April 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Umgang mit Ã¤lteren Kollegen|4|Der Altersdurchschnitt im Office ist recht jung. Bislang habe ich aber keine negativen Auswirkungen durch ein hÃ¶heres Alter mitbekommen.|0.06531011|0.07353363|0.058001306|0.06807707|0.32391837|0.06726523|0.06344863|0.067529194|0.082838856|0.1300776
adidas ag|Handel|April 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Umwelt-/Sozialbewusstsein|5|Umweltbewusstsein kÃ¶nnte ein wenig besser sein, aber ist schon recht hohes Niveau. FÃ¼r mich fehlen jedoch Angebote wie eine Ladestation fÃ¼r Elektrofahrzeuge oder Company Bikes. Sozialbewusstsein ist vorhanden. Das Unternehmen unterstÃ¼tzt soziale Projekte und setzt sich (natÃ¼rlich im Namen des Sports) ein.|0.42966422|0.05124113|0.05775434|0.07118575|0.048036866|0.13102171|0.04231617|0.062589556|0.055454727|0.05073556
adidas ag|Handel|April 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Corona1|NA|SchutzmaÃŸnahmen sind zwar etwas spÃ¤t gekommen, aber dafÃ¼r umfangreich und top. WÃ¼sste nicht was da noch besser gehen sollte.|0.13421628|0.09059921|0.21478507|0.12403369|0.06850948|0.08441557|0.06953473|0.07561953|0.068302065|0.06998438
adidas ag|Handel|April 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Corona3|NA|Ein wenig mehr UnterstÃ¼tzung bei der Kinderbetreuung fÃ¼r meine Kollegen, welche Kinder haben. Zwar wird HomeOffice usw angeboten, aber man ist nur bedingt flexibel und muss sich hinterher gerne rechtfertigen, ob man auch die ganze Zeit was getan hat. Angeblich kontrolliert HR danach die Zeiten, die im System eingetragen wurden, aber das kann ich selbst nicht bestÃ¤tigen.|0.3413087|0.05085223|0.15384886|0.057478946|0.047659148|0.09923272|0.05201738|0.0674762|0.08128002|0.048845805
adidas ag|Handel|April 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Work-Life-Balance|4|Home Office Generell in kleinem Rahmen mÃ¶glich. Die HÃ¼rden wurden aber in der letzten Zeit (vor Corona) hochgesetzt und stark limitiert. Flexible Arbeitszeiten Im Office vorhanden und in Ordnung. Ãœberstunden Fallen natÃ¼rlich immer mal wieder an. Abfeiern ist jedoch mittlerweile so stark geregelt, dass man ganze Tage nicht mehr nehmen soll. Man soll das abfeiern Ã¼ber einen frÃ¼heren Feierabend machen, was aber schwierig ist. Ich wÃ¼rde gerne ganze Tage frei nehmen, das ist aber stark limitiert. Dort schiebt HR gerne einen Riegel vor, auch wenn der Vorgesetzte es unterstÃ¼tzt.|0.19659543|0.028134907|0.26924855|0.25128818|0.030354435|0.03128471|0.028135449|0.09911208|0.03017527|0.03567106
adidas ag|Handel|April 2020|2|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Recht / Steuern bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Overall|4.4|Hometram|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1|0.1
