Org|OrgSector|RverMonthYear|RverReviewer|RverPosition|RverLoc|RverRecom|RvReviewAbout|RvScore|RvComment
adidas ag|Handel|April 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|ArbeitsatmosphÃ¤re|3|Je nach Bereich ist es eine gute AtmosphÃ¤re. Innerhalb der Teams gibt es meist eine gute Stimmung und auch privat unternimmt man gerne mal etwas gemeinsam. Leider tragen manche Vorgesetzte und HR zu einer Verschlechterung der ArbeitsatmosphÃ¤re bei. (teilweise) Beispiele dazu: - Starker Unterschied in der FÃ¼hrungsriege. Die meisten Vorgesetzten wissen wie man Mitarbeiter fÃ¼hrt und motiviert. Doch gibt es einige Beispiele, wie Vorgesetzte den Druck von oben 1:1 an die Mitarbeiter weitergeben und diese unter Druck setzen. Da ist dringender Nachschulungsbedarf. HR unterstÃ¼tzt dieses Verhalten gegenÃ¼ber Mitarbeitern und setzt gerne noch einmal einen oben drauf. Trotzdem gibt es sehr viele positive Beispiele und je nach Vorgesetztem und Team ist es einfach schÃ¶n hier zu arbeiten.
adidas ag|Handel|April 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Gleichberechtigung|5|Aus meiner Sicht vorhanden und gut umgesetzt. Es ist egal wer Du bist, Du musst die Leistung bringen und dann gibt es keinen Unterschied.
adidas ag|Handel|April 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Gleichberechtigung|5|Aus meiner Sicht vorhanden und gut umgesetzt. Es ist egal wer Du bist, Du musst die Leistung bringen und dann gibt es keinen Unterschied.
adidas ag|Handel|April 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Umgang mit Ã¤lteren Kollegen|4|Der Altersdurchschnitt im Office ist recht jung. Bislang habe ich aber keine negativen Auswirkungen durch ein hÃ¶heres Alter mitbekommen.
adidas ag|Handel|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Finanzen / Controlling bei adidas in Herzogenaurach gearbeitet.|Nicht empfohlen|Kollegenzusammenhalt|1|"Fallweise gegeben, jedoch wird man schnell erkennen, dass mehr Ã¼ber Probleme geredet wird als wirklich LÃ¶sungen anzustoÃŸen. Auch hier gilt: ""Vertraue Niemandem!"""
adidas ag|Handel|April 2020|5|FÃ¼hrungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich IT bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Gleichberechtigung|3|Noch nicht in allen Positionen und Abteilungen
adidas ag|Handel|April 2020|5|FÃ¼hrungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich IT bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Corona1|NA|Gute Kommunikation - ausgeweitetes Home Office bereits vor der StandortschlieÃŸung wegen Corona . Professionell gemanaged und transparent. Schnelle Anpassung der IT Infrastruktur- Lunchpakete kostenlos fÃ¼r die verbliebenden Anwesenden. Schnelles handeln um den Cashflow und somit langfristig ArbeitsplÃ¤tze zu sichern.
adidas ag|Handel|April 2020|7|Ex-Angestellte/r oder Arbeiter/in|Hat im Bereich Vertrieb / Verkauf bei adidas in Wustermark gearbeitet.|Nicht empfohlen|Gleichberechtigung|1|Alles vorhanden auÃŸer nicht das leistungsprinzip
adidas ag|Handel|March 2020|9|FÃ¼hrungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich IT bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Overall|4.5|Great communication from Senior Management in times of Corona
adidas ag|Handel|March 2020|9|FÃ¼hrungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich IT bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Corona1|NA|Kommunikation - Home Office - Arbeitsmittel - Netzwerk und Tools StabilitÃ¤t
