Org|OrgSector|RverMonthYear|RverReviewer|RverPosition|RverLoc|RverRecom|RvReviewAbout|RvScore|RvComment
adidas ag|Handel|April 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Overall|3.8|Guter Arbeitgeber mit Problemen in der Führungsriege
adidas ag|Handel|April 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Arbeitsatmosphäre|3|Je nach Bereich ist es eine gute Atmosphäre. Innerhalb der Teams gibt es meist eine gute Stimmung und auch privat unternimmt man gerne mal etwas gemeinsam.Leider tragen manche Vorgesetzte und HR zu einer Verschlechterung der Arbeitsatmosphäre bei.(teilweise) Beispiele dazu:- Starker Unterschied in der Führungsriege. Die meisten Vorgesetzten wissen wie man Mitarbeiter führt und motiviert. Doch gibt es einige Beispiele, wie Vorgesetzte den Druck von oben 1:1 an die Mitarbeiter weitergeben und diese unter Druck setzen. Da ist dringender Nachschulungsbedarf. HR unterstützt dieses Verhalten gegenüber Mitarbeitern und setzt gerne noch einmal einen oben drauf.Trotzdem gibt es sehr viele positive Beispiele und je nach Vorgesetztem und Team ist es einfach schön hier zu arbeiten.
adidas ag|Handel|April 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Kollegenzusammenhalt|5|In meinem Team ist der Zusammenhalt sehr gut. Wir unternehmen auch privat etwas gemeinsam.Aber das hängt tatsächlich sehr von dem Bereich und dem Team ab, in dem man arbeitet.
adidas ag|Handel|April 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Gleichberechtigung|5|Aus meiner Sicht vorhanden und gut umgesetzt. Es ist egal wer Du bist, Du musst die Leistung bringen und dann gibt es keinen Unterschied.
adidas ag|Handel|April 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Umgang mit älteren Kollegen|4|Der Altersdurchschnitt im Office ist recht jung.Bislang habe ich aber keine negativen Auswirkungen durch ein höheres Alter mitbekommen.
adidas ag|Handel|April 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Umwelt-/Sozialbewusstsein|5|Umweltbewusstsein könnte ein wenig besser sein, aber ist schon recht hohes Niveau.Für mich fehlen jedoch Angebote wie eine Ladestation für Elektrofahrzeuge oder Company Bikes.Sozialbewusstsein ist vorhanden. Das Unternehmen unterstützt soziale Projekte und setzt sich (natürlich im Namen des Sports) ein.
adidas ag|Handel|April 2020|2|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Recht / Steuern bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Overall|4.4|Hometram
adidas ag|Handel|April 2020|2|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Recht / Steuern bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Arbeitsatmosphäre|4|  
adidas ag|Handel|April 2020|2|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Recht / Steuern bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Kollegenzusammenhalt|4|  
adidas ag|Handel|April 2020|2|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Recht / Steuern bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Gleichberechtigung|5|  
